Season,Lg,Tm,,,,,
1977-78,NBA,2nd,Kareem Abdul-Jabbar C,Walter Davis F,Maurice Lucas F,Paul Westphal G,Pete Maravich G
1976-77,NBA,1st,Kareem Abdul-Jabbar C,Elvin Hayes F,David Thompson F,Paul Westphal G,Pete Maravich G
1976-77,NBA,2nd,Bill Walton C,George McGinnis F,Julius Erving F,Jo Jo White G,George Gervin G
1975-76,NBA,1st,Kareem Abdul-Jabbar C,George McGinnis F,Rick Barry F,Tiny Archibald G,Pete Maravich G
1975-76,NBA,2nd,Dave Cowens C,Elvin Hayes F,John Havlicek F,Randy Smith G,Phil Smith G
1975-76,ABA,1st,Artis Gilmore C,Billy Knight F,Julius Erving F,Ralph Simpson G,James Silas G
1975-76,ABA,2nd,Dan Issel C,Bobby Jones F,David Thompson F,George Gervin G,Don Buse G
1974-75,NBA,1st,Bob McAdoo C,Elvin Hayes F,Rick Barry F,Walt Frazier G,Tiny Archibald G
1974-75,NBA,2nd,Dave Cowens C,Spencer Haywood F,John Havlicek F,Jo Jo White G,Phil Chenier G
1974-75,ABA,1st,Artis Gilmore C,Julius Erving F,George McGinnis F,Mack Calvin G,Ron Boone G
1974-75,ABA,2nd,Swen Nater C,George Gervin F,Marvin Barnes F,James Silas G,Brian Taylor G
1973-74,NBA,1st,Kareem Abdul-Jabbar C,John Havlicek F,Rick Barry F,Gail Goodrich G,Walt Frazier G
1973-74,NBA,2nd,Bob McAdoo C,Spencer Haywood F,Elvin Hayes F,Dave Bing G,Norm Van Lier G
1973-74,ABA,1st,Artis Gilmore C,Julius Erving F,George McGinnis F,Jimmy Jones G,Mack Calvin G
1973-74,ABA,2nd,Swen Nater C,Dan Issel F,Willie Wise F,Ron Boone G,Louie Dampier G
1972-73,NBA,1st,Kareem Abdul-Jabbar C,John Havlicek F,Spencer Haywood F,Jerry West G,Tiny Archibald G
1972-73,NBA,2nd,Dave Cowens C,Elvin Hayes F,Rick Barry F,Pete Maravich G,Walt Frazier G
1972-73,ABA,1st,Artis Gilmore C,Billy Cunningham F,Julius Erving F,Jimmy Jones G,Warren Jabali G
1972-73,ABA,2nd,Mel Daniels C,Dan Issel F,George McGinnis F,Mack Calvin G,Ralph Simpson G
1971-72,NBA,1st,Kareem Abdul-Jabbar C,Spencer Haywood F,John Havlicek F,Jerry West G,Walt Frazier G
1971-72,NBA,2nd,Wilt Chamberlain C,Billy Cunningham F,Bob Love F,Archie Clark G,Tiny Archibald G
1971-72,ABA,1st,Artis Gilmore C,Rick Barry F,Dan Issel F,Bill Melchionni G,Donnie Freeman G
1971-72,ABA,2nd,Zelmo Beaty C,Julius Erving F,Willie Wise F,Charlie Scott G,Ralph Simpson G
1970-71,NBA,1st,Kareem Abdul-Jabbar C,John Havlicek F,Billy Cunningham F,Dave Bing G,Jerry West G
1970-71,NBA,2nd,Willis Reed C,Bob Love F,Gus Johnson F,Walt Frazier G,Oscar Robertson G
1970-71,ABA,1st,Mel Daniels C,Rick Barry F,Roger Brown F,Mack Calvin G,Charlie Scott G
1970-71,ABA,2nd,Joe Caldwell F,John Brisker F,Donnie Freeman G,Larry Cannon G,Dan Issel C Zelmo Beaty C (T)
1969-70,NBA,1st,Willis Reed C,Connie Hawkins F,Billy Cunningham F,Jerry West G,Walt Frazier G
